,trend
2012-05-18,34.981283798217774
2012-05-21,34.153362350463865
2012-05-22,33.62232589721683
2012-05-23,32.35966567993163
2012-05-24,31.322766113281233
2012-05-25,30.76136169433596
2012-05-29,30.281870651245093
2012-05-30,29.22099609374999
2012-05-31,28.22005805969242
2012-06-01,27.626687622070335
2012-06-04,27.350979995727556
2012-06-05,26.69367713928222
2012-06-06,26.569808959960923
2012-06-07,26.591785812377886
2012-06-08,26.89746131896975
2012-06-11,26.989363861084
2012-06-12,27.38494453430177
2012-06-13,27.966327667236353
2012-06-14,28.84539489746096
2012-06-15,29.746438980102557
2012-06-18,30.611521148681682
2012-06-19,31.320768356323267
2012-06-20,31.92812347412108
2012-06-21,32.05798568725589
2012-06-22,32.29573287963867
2012-06-25,32.42159919738774
2012-06-26,32.325701141357484
2012-06-27,31.936114883422874
2012-06-28,31.67838821411134
2012-06-29,31.298791885375977
2012-07-02,31.14695320129396
2012-07-03,31.220874404907203
2012-07-05,31.43464736938483
2012-07-06,31.574499130249034
2012-07-09,31.528547286987298
2012-07-10,31.396686935424803
2012-07-11,31.194900894165045
2012-07-12,30.41173210144043
2012-07-13,29.73644866943358
2012-07-16,29.364843368530273
2012-07-17,29.003227233886705
2012-07-18,28.611642837524457
2012-07-19,28.711536788940386
2012-07-20,28.783460617065415
2012-07-23,28.829411697387695
2012-07-24,28.39986763000487
2012-07-25,27.390938186645506
2012-07-26,26.272125244140593
2012-07-27,24.92555351257323
2012-07-30,23.235346603393538
2012-07-31,21.874790191650426
2012-08-01,21.351345825195335
2012-08-02,21.105606460571288
2012-08-03,20.907816314697325
2012-08-06,20.875850296020545
2012-08-07,21.069644546508812
2012-08-08,21.21349143981936
2012-08-09,21.149559402465833
2012-08-10,21.08163146972654
2012-08-13,21.1775299072266
2012-08-14,20.949771499633787
2012-08-15,20.398356628417993
2012-08-16,20.080693817138695
2012-08-17,19.836952590942442
2012-08-20,19.48532562255863
2012-08-21,19.399416732788087
2012-08-22,19.471340560913085
2012-08-23,19.299522781372065
2012-08-24,19.335484695434612
2012-08-27,19.267556762695342
2012-08-28,19.197631072998036
2012-08-29,18.92791709899907
2012-08-30,18.64421806335453
2012-08-31,18.492378997802756
2012-09-04,18.46440849304205
2012-09-05,18.44243164062503
2012-09-06,18.592272949218707
2012-09-07,18.93191261291503
2012-09-10,19.401414489746017
2012-09-11,19.751043701171888
2012-09-12,20.354403686523472
2012-09-13,20.895829391479523
2012-09-14,21.383312225341815
2012-09-17,21.85481224060064
2012-09-18,22.230413818359388
2012-09-19,22.40223159790039
2012-09-20,22.256386184692442
2012-09-21,21.938723373413097
2012-09-24,21.405289459228552
2012-09-25,20.951770401001024
2012-09-26,20.71202468872074
2012-09-27,20.95177001953128
2012-09-28,21.349348068237322
2012-10-01,21.59109115600586
2012-10-02,21.916746139526385
2012-10-03,21.766905212402392
2012-10-04,21.44924240112305
2012-10-05,21.041674423217792
2012-10-08,20.6041385650635
2012-10-09,20.16460456848148
2012-10-10,19.886899185180688
2012-10-11,19.711085891723645
2012-10-12,19.561244964599634
2012-10-15,19.609194183349608
2012-10-16,19.45535736083989
2012-10-17,19.3514675140381
2012-10-18,19.31150970458984
2012-10-19,19.315505599975623
2012-10-22,19.984795379638694
2012-10-23,20.700036621093773
2012-10-24,21.287413406372092
2012-10-25,21.64503402709962
2012-10-26,21.98667144775388
2012-10-31,21.577106475830103
2012-11-01,21.31538429260249
2012-11-02,21.161547470092813
2012-11-05,21.033683013916004
2012-11-06,20.789941787719737
2012-11-07,20.396358871459938
2012-11-08,20.16060867309568
2012-11-09,19.89888648986813
2012-11-12,20.27648620605464
2012-11-13,20.71202392578124
2012-11-14,21.581101989746056
2012-11-15,22.150498199462856
2012-11-16,22.79781150817871
2012-11-19,23.18939590454098
2012-11-20,23.555008316040027
2012-11-21,24.03050384521488
2012-11-23,24.675819015502917
2012-11-26,25.327127838134718
2012-11-27,25.92649192810061
2012-11-28,26.725643920898378
2012-11-29,26.945410919189463
2012-11-30,27.207133102417014
2012-12-03,27.476846694946325
2012-12-04,27.406920623779236
2012-12-05,27.305028533935534
2012-12-06,27.464859008789038
2012-12-07,27.568748855590783
2012-12-10,27.54277648925786
2012-12-11,27.796507263183557
2012-12-12,27.660651397705053
2012-12-13,27.442882156372107
2012-12-14,27.388939285278298
2012-12-17,27.3549755096436
2012-12-18,27.179162216186533
2012-12-19,27.069279098510755
2012-12-20,27.10524101257323
2012-12-21,26.865495681762706
2012-12-24,26.5937835693359
2012-12-26,26.304090881347644
2012-12-27,26.376014709472667
2012-12-28,26.589788055419945
2012-12-31,26.84152107238767
2013-01-02,27.38294677734369
2013-01-03,28.084202957153284
2013-01-04,28.571685409545886
2013-01-07,29.089136505127
2013-01-08,29.7943878173828
2013-01-09,30.385760498046864
2013-01-10,30.69143600463872
2013-01-11,30.899215698242163
2013-01-14,30.751372528076182
2013-01-15,30.519618606567406
2013-01-16,30.108055114746094
2013-01-17,30.0641017913818
2013-01-18,30.207949066162158
2013-01-22,30.453688049316394
2013-01-23,30.733391571044923
2013-01-24,31.29479598999026
2013-01-25,31.306783294677746
2013-01-28,31.39069404602048
2013-01-29,31.37071533203124
2013-01-30,31.00909843444818
2013-01-31,30.138022994995115
2013-02-01,29.70847854614259
2013-02-04,29.270942687988267
2013-02-05,28.805436706542945
2013-02-06,28.569686889648438
2013-02-07,28.599654769897423
2013-02-08,28.345924377441406
2013-02-11,28.118166351318408
2013-02-12,28.088198089599622
2013-02-13,28.042247009277283
2013-02-14,28.17610511779789
2013-02-15,28.393873596191323
2013-02-19,28.268007278442408
2013-02-20,27.99429740905764
2013-02-21,27.78451995849614
2013-02-22,27.476846313476514
2013-02-25,27.15918388366698
2013-02-26,27.153190231323194
2013-02-27,27.28305282592771
2013-02-28,27.372957229614304
2013-03-01,27.39892959594724
2013-03-04,27.51480636596681
2013-03-05,27.7805240631104
2013-03-06,27.816485595703135
2013-03-07,27.900396728515638
2013-03-08,27.962331008911157
2013-03-11,27.8884094238281
