,resid
2004-08-19,-0.19060083551189497
2004-08-20,0.007675986675177847
2004-08-23,0.09634197605678622
2004-08-24,-0.062271774991170634
2004-08-25,0.006662784711120303
2004-08-26,0.05118274526813209
2004-08-27,0.010350675968091992
2004-08-30,-0.03675891505649849
2004-08-31,-0.0039902579623472935
2004-09-01,0.0038237439548861017
2004-09-02,-0.0025161282517583584
2004-09-03,-0.04897726020440677
2004-09-07,0.007226117978788621
2004-09-08,-0.0019476306277524781
2004-09-09,-0.008978284701114784
2004-09-10,-0.02298932237408187
2004-09-13,-0.026710586162640694
2004-09-14,0.04194630039760654
2004-09-15,-0.014002836926586198
2004-09-16,0.006015049115400569
2004-09-17,0.02219171362140686
2004-09-20,0.027536459354323438
2004-09-21,-0.017082801927831143
2004-09-22,-0.023368204815992537
2004-09-23,0.07291496862530106
2004-09-24,-0.03653855485698661
2004-09-27,-0.14835417708977564
2004-09-28,0.049467738996239616
2004-09-29,0.0829837429684367
2004-09-30,-0.007533897265208981
2004-10-01,-0.030510760972715836
2004-10-04,-0.008080463024231078
2004-10-05,0.05564440144131304
2004-10-06,-0.0102165591555957
2004-10-07,0.0629017697727619
2004-10-08,-2.536935589898988e-05
2004-10-11,-0.09002268752678336
2004-10-12,-0.025052753557473457
2004-10-13,0.02226129652678623
2004-10-14,0.010448442593799453
2004-10-15,-0.029365541169859746
2004-10-18,0.08900620499029752
2004-10-19,0.04921897305080851
2004-10-20,-0.2854854953128204
2004-10-21,-0.2245207441890284
2004-10-22,0.14104633169391714
2004-10-25,0.27789766350165696
2004-10-26,-0.05299812899998908
2004-10-27,-0.04792536614715669
2004-10-28,0.12168162931560539
2004-10-29,-0.04953961534282654
2004-11-01,0.04686371841803313
2004-11-02,0.08817304028103472
2004-11-03,0.10644560934722115
2004-11-04,0.07983869184613007
2004-11-05,-0.21198096437237432
2004-11-08,-0.0231241508446565
2004-11-09,-0.08328415500095161
2004-11-10,-0.17529829858124243
2004-11-11,0.17094720472454022
2004-11-12,0.08655018644551064
2004-11-15,0.12546946564094472
2004-11-16,-0.07715794192721688
2004-11-17,-0.023467339261186698
2004-11-18,-0.018492378100155974
2004-11-19,0.01297554807880112
2004-11-22,-0.11482994994744147
2004-11-23,-0.08622356997898535
2004-11-24,0.02798977972685947
2004-11-26,0.08925336469768103
2004-11-29,0.02876667814472282
2004-11-30,0.01936699905767677
2004-12-01,-0.008614317049299453
2004-12-02,-0.006929196103225938
2004-12-03,0.1005611764347421
2004-12-06,0.008044098188660849
2004-12-07,-0.09271290740593544
2004-12-08,-0.057879892458234286
2004-12-09,0.04906092764555549
2004-12-10,-0.0014068258846002303
2004-12-13,-0.11997590226909767
2004-12-14,0.060662527469545556
2004-12-15,0.07317870510646511
2004-12-16,-0.08991822121919256
2004-12-17,0.0048198090946581194
2004-12-20,0.055516193678166
2004-12-21,-0.04250090560540402
2004-12-22,-0.010556760896959966
2004-12-23,-0.017340744717727712
2004-12-27,0.06698659528850187
2004-12-28,-0.007995273301803456
2004-12-29,-0.03831656417473676
2004-12-30,0.052307065854761456
2004-12-31,-0.08423956750214444
2005-01-03,0.18982661832927655
2005-01-04,-0.009440280626033042
2005-01-05,-0.048827294918139454
2005-01-06,-0.10689617740086106
2005-01-07,0.02181292654692481
2005-01-10,0.07266563047526359
2005-01-11,-0.0388297574021504
2005-01-12,-0.03293726882562046
2005-01-13,-0.0508562718527666
2005-01-14,0.03790303351103187
2005-01-18,0.17308925260661373
2005-01-19,0.003959797193787624
2005-01-20,0.006215734867004184
2005-01-21,0.02650378597803808
2005-01-24,-0.12971867440522397
2005-01-25,-0.16026121507527175
2005-01-26,0.09148125486590979
2005-01-27,-0.021081189724061512
2005-01-28,-0.011055437196995827
2005-01-31,0.029086028353558686
2005-02-01,-0.14701115022541095
2005-02-02,0.09347395735004331
2005-02-03,0.20402485885993157
2005-02-04,0.03591874493189888
2005-02-07,-0.10800074456514018
2005-02-08,0.10100940336344949
2005-02-09,-0.030211974809382827
2005-02-10,-0.11418230971918455
2005-02-11,-0.08428122149875435
2005-02-14,0.012846575991504534
2005-02-15,0.0492533074772295
2005-02-16,0.03603939848163688
2005-02-17,0.021957655338201452
2005-02-18,0.05693963421412189
2005-02-22,-0.06760233758270694
2005-02-23,0.08661378492473198
2005-02-24,-0.02966418428203517
2005-02-25,-0.08788111648186939
2005-02-28,0.03596833599636888
2005-03-01,-0.01081475137056152
2005-03-02,-0.002851356371647632
2005-03-03,-0.0012209431626562673
2005-03-04,-0.034032563778009485
2005-03-07,0.08488467587062136
2005-03-08,0.02191229941069363
2005-03-09,-0.0035982740962713956
2005-03-10,-0.008742477128707753
2005-03-11,-0.03966219863518242
2005-03-14,-0.05364548312595836
2005-03-15,0.031875430361613014
2005-03-16,-0.024220908983951964
2005-03-17,-0.0015202061631354891
2005-03-18,0.007760115054994597
2005-03-21,0.0392065371377112
2005-03-22,-0.025459469540720075
2005-03-23,0.007160793439141607
2005-03-24,-0.01945223970195349
2005-03-28,0.01592947998419577
2005-03-29,-0.010407701601298742
2005-03-30,-0.0005031478244100608
2005-03-31,0.011743579999202333
2005-04-01,-0.08465829057476155
2005-04-04,-0.0070338531456797596
2005-04-05,0.03601859463283745
2005-04-06,-0.015696705563674623
2005-04-07,0.08785842527507076
2005-04-08,-0.0214450375535183
2005-04-11,-0.01998560866936886
2005-04-12,0.03706448925563681
2005-04-13,0.03845091940580016
2005-04-14,0.062802349225273
2005-04-15,-0.12495722932598759
2005-04-18,-0.11109412154778345
2005-04-19,-0.03700796710423322
