,resid
1980-12-12,0.018276457003931094
1980-12-15,0.0074530902143194345
1980-12-16,-0.005306551562072525
1980-12-17,-0.0049059461833714695
1980-12-18,-0.002302689891347783
1980-12-19,0.0005087764185517998
1980-12-22,-0.00015918586295010455
1980-12-23,-0.0007301561100468894
1980-12-24,-0.0032315444232715223
1980-12-26,0.006625306565277906
1980-12-29,0.006535381190159208
1980-12-30,-4.71887354185611e-05
1980-12-31,-0.0011767528517266283
1981-01-02,0.001009653878045201
1981-01-05,0.0028309136218932227
1981-01-06,0.00017357479749461474
1981-01-07,-0.004511394834926156
1981-01-08,-0.0036319456560579746
1981-01-09,0.0023486513612982303
1981-01-12,0.0028305083103104265
1981-01-13,-0.0025044201690128318
1981-01-14,-0.0020559904340977913
1981-01-15,0.001390052630186442
1981-01-16,-0.0037893455507006695
1981-01-19,0.004281303245536384
1981-01-20,-0.0010536192733194769
1981-01-21,-0.0007167873148251328
1981-01-22,0.00328724761176267
1981-01-23,-0.00021814816014677652
1981-01-26,0.00026370282840373975
1981-01-27,0.0024059863012859464
1981-01-28,0.0010690125461311779
1981-01-29,0.0028412439362999007
1981-01-30,-0.0033433508159381635
1981-02-02,-0.007102090161333187
1981-02-03,-0.0009420155364460794
1981-02-04,0.0021848114963252136
1981-02-05,0.0033988498585251856
1981-02-06,0.0014558482883701247
1981-02-09,-0.0018566936664616833
1981-02-10,0.0009553835910413797
1981-02-11,-0.0009395879868741417
1981-02-12,0.0007200442688488713
1981-02-13,-0.004905743527572716
1981-02-17,-7.129464674561422e-05
1981-02-18,0.007205583266603401
1981-02-19,-0.00015899214785137876
1981-02-20,-0.002404551909680327
1981-02-23,-0.001780546832249809
1981-02-24,-0.00431189243126391
1981-02-25,0.0009549842399168632
1981-02-26,-4.7594047000441386e-05
1981-02-27,0.0033992462294097584
1981-03-02,0.0004518587110774975
1981-03-03,-7.069412995223885e-05
1981-03-04,0.0001735837381916447
1981-03-05,0.0014034065242488226
1981-03-06,0.0054078437821885265
1981-03-09,-0.002449740100074889
1981-03-10,-0.003084692399986293
1981-03-11,-0.003397421427388518
1981-03-12,6.420936543937068e-05
1981-03-13,-0.0008423529131420719
1981-03-16,-0.0034541424395289526
1981-03-17,0.0002639054841914741
1981-03-18,0.004414782039506175
1981-03-19,-0.0008285907272601293
1981-03-20,-6.115357708811318e-05
1981-03-23,0.001233254742456373
1981-03-24,0.0019383102245299079
1981-03-25,0.001177980117185208
1981-03-26,-0.00015899363796871384
1981-03-27,-0.000395552025557777
1981-03-30,-0.001557343828844514
1981-03-31,-0.0019684940986749435
1981-04-01,-0.004067218192237924
1981-04-02,0.003413011395522721
1981-04-03,0.004627045287372298
1981-04-06,-0.0028971444846872018
1981-04-07,-0.0036428928785408312
1981-04-08,0.0012903810661845164
1981-04-09,0.0009574073191376005
1981-04-10,0.002506048275706269
1981-04-13,0.00011665709001781443
1981-04-14,0.00372350807856263
1981-04-15,6.278019366793425e-05
1981-04-16,-0.007190191483906578
1981-04-20,-0.002628152774093123
1981-04-21,-0.00010614358203320674
1981-04-22,0.002161107916349118
1981-04-23,0.0034103782099303773
1981-04-24,0.0007340135808686106
1981-04-27,0.0019480430023698732
1981-04-28,-0.0023385491253576822
1981-04-29,-0.002079886239058664
1981-04-30,0.0011783824485370811
1981-05-01,0.0003992068405846168
1981-05-04,0.002059640778781605
1981-05-05,-0.0007761400224441843
1981-05-06,-0.0024146899991083206
1981-05-07,0.000620380155426363
1981-05-08,0.0015152069564585442
1981-05-11,0.0006088488237894153
1981-05-12,-0.0014457430721972935
1981-05-13,-0.00018269572783073603
1981-05-14,-0.001834815629137572
1981-05-15,-4.719171564822138e-05
1981-05-18,0.002952446831943645
1981-05-19,-0.0049055438520208315
1981-05-20,-0.0030846953802160784
1981-05-21,0.001848381869181577
1981-05-22,0.0021850052114260905
1981-05-26,-0.0007303468449063515
1981-05-27,0.0014558542488377442
1981-05-28,0.0012681036777439931
1981-05-29,0.002182784788000054
1981-06-01,0.00263121154267751
1981-06-02,-0.002069555924649127
1981-06-03,-0.0035661470176428694
1981-06-04,0.0029421090669591596
1981-06-05,0.0016247839850034376
1981-06-08,-0.004287993646072989
1981-06-09,-0.0003955505354400672
1981-06-10,-0.002338544655010923
1981-06-11,0.0035001039094844652
1981-06-12,0.001847985498295436
1981-06-15,0.0006224068637601684
1981-06-16,0.0011668391959715559
1981-06-17,-0.0018921386481983342
1981-06-18,0.001826307136530842
1981-06-19,0.0003975839537204498
1981-06-22,-0.0033955899242643344
1981-06-23,0.0020594485538002003
1981-06-24,-0.0031197499515265474
1981-06-25,0.0019377052373805443
1981-06-26,0.004080185405596272
1981-06-29,0.0015156107779264894
1981-06-30,-0.0028511546118231753
1981-07-01,-0.0030083444000946246
1981-07-02,0.0010449081249197252
1981-07-06,-0.0023928194123663885
1981-07-07,-0.0007167932752835791
1981-07-08,0.008644244863275691
1981-07-09,-0.0012223403932287756
1981-07-10,-0.00699109290171472
1981-07-13,-0.0026158197599798275
1981-07-14,0.00017620798308366954
1981-07-15,0.0015016504065993948
1981-07-16,0.0002282548664328211
1981-07-17,0.005285702604763424
1981-07-20,-0.0003838135677757745
1981-07-21,-0.0002701905731463792
1981-07-22,-0.002963156209706932
1981-07-23,-0.0037891443850253713
1981-07-24,0.0008219062871828448
1981-07-27,0.004861182085853129
1981-07-28,-0.0011631873611733217
1981-07-29,-0.001957953677892676
1981-07-30,-0.0006645482064985457
1981-07-31,0.0014913081712638338
1981-08-03,-0.0009420155364456353
1981-08-04,-0.0007167932752839816
