,trend
1999-01-22,0.40385207653045874
1999-01-25,0.39675729215145294
1999-01-26,0.38770365118980693
1999-01-27,0.3850759625434872
1999-01-28,0.37599853277206496
1999-01-29,0.36763767600059727
1999-02-01,0.36094887256622243
1999-02-02,0.3583211660385132
1999-02-03,0.36142659187316895
1999-02-04,0.3604711294174234
1999-02-05,0.36238224506378425
1999-02-08,0.3621433734893785
1999-02-09,0.3640542984008775
1999-02-10,0.3681153655052182
1999-02-11,0.37528168559074476
1999-02-12,0.3810148298740359
1999-02-16,0.3886590838432287
1999-02-17,0.3929590225219734
1999-02-18,0.39343675374984816
1999-02-19,0.3972587764263111
1999-02-22,0.41206935048103155
1999-02-23,0.4228190422058088
1999-02-24,0.42687993645668176
1999-02-25,0.4309408485889392
1999-02-26,0.43046313524246077
1999-03-01,0.41756348013877587
1999-03-02,0.40585831999778965
1999-03-03,0.4025140285491894
1999-03-04,0.3998864948749514
1999-03-05,0.40060309767722946
1999-03-08,0.40561962127685763
1999-03-09,0.4087250590324434
1999-03-10,0.4060973584651961
1999-03-11,0.4056194663047826
1999-03-12,0.39988632202148616
1999-03-15,0.396064305305476
1999-03-16,0.3967808961868272
1999-03-17,0.39916972517966975
1999-03-18,0.395825409889223
1999-03-19,0.3903313219547279
1999-03-22,0.383881419897083
1999-03-23,0.3774316847324357
1999-03-24,0.37719282507896534
1999-03-25,0.3817316532134992
1999-03-26,0.3841203033924103
1999-03-29,0.39224226474762003
1999-03-30,0.3970197558403083
1999-03-31,0.39295886754989984
1999-04-01,0.3845980107784239
1999-04-05,0.3893756806850448
1999-04-06,0.3903313219547279
1999-04-07,0.3922424256801577
1999-04-08,0.393197870254518
1999-04-09,0.3929589867591915
1999-04-12,0.3843592941761038
1999-04-13,0.3762373208999634
1999-04-14,0.37193757295608343
1999-04-15,0.3676376521587386
1999-04-16,0.3650099635124239
1999-04-19,0.3657265663146973
1999-04-20,0.3614266335964196
1999-04-21,0.35139353871345946
1999-04-22,0.3413606405258232
1999-04-23,0.3394495427608501
1999-04-26,0.33586636185645813
1999-04-27,0.33538861870766257
1999-04-28,0.3392106592655211
1999-04-29,0.34685488939284925
1999-04-30,0.3439883112907467
1999-05-03,0.34303285479545487
1999-05-04,0.34076344370842265
1999-05-05,0.337896853685378
1999-05-06,0.3345523536205217
1999-05-07,0.33861343860626436
1999-05-10,0.3433909416198699
1999-05-11,0.3494823992252325
1999-05-12,0.35139352083206143
1999-05-13,0.35664892792701797
1999-05-14,0.3616652786731745
1999-05-17,0.36118751764297663
1999-05-18,0.35497663617133957
1999-05-19,0.35115463137627007
1999-05-20,0.3437494635582017
1999-05-21,0.3334776937961607
1999-05-24,0.3263114035129586
1999-05-25,0.3244004726409966
1999-05-26,0.3246393084526055
1999-05-27,0.32535588741301996
1999-05-28,0.32320592403411513
1999-06-01,0.32296704649924807
1999-06-02,0.32368364334106414
1999-06-03,0.324400240182872
1999-06-04,0.3265502333641063
1999-06-07,0.33228336572647277
1999-06-08,0.33658310174942624
1999-06-09,0.33897196054458656
1999-06-10,0.3380165278911605
1999-06-11,0.3353888332843859
1999-06-14,0.33347771167755624
1999-06-15,0.32941685318946556
1999-06-16,0.3244003117084461
1999-06-17,0.3253557443618757
1999-06-18,0.3251168668270076
1999-06-21,0.324161416292186
1999-06-22,0.32368365526199305
1999-06-23,0.32655020356177716
1999-06-24,0.3270279407501242
1999-06-25,0.32941659092902964
1999-06-28,0.3365831136703477
1999-06-29,0.3413606226444273
1999-06-30,0.35019922256469943
1999-07-01,0.3583212018013022
1999-07-02,0.3642933845520002
1999-07-06,0.3659654319286368
1999-07-07,0.37779001593590356
1999-07-08,0.38830080628395014
1999-07-09,0.3988116264343283
1999-07-12,0.4074113249778861
1999-07-13,0.41481673121452617
1999-07-14,0.41756383776664807
1999-07-15,0.4144584000110616
1999-07-16,0.4096807062625871
1999-07-19,0.40585849881172753
1999-07-20,0.39797539114951946
1999-07-21,0.38842025399208
1999-07-22,0.3812537491321578
1999-07-23,0.3757594764232657
1999-07-26,0.3738485574722269
1999-07-27,0.37623738050460676
1999-07-28,0.3788650512695327
1999-07-29,0.38197048902511777
1999-07-30,0.38292596340179164
1999-08-02,0.3826869130134579
1999-08-03,0.3829257607460008
1999-08-04,0.3829257607460019
1999-08-05,0.3822091460227931
1999-08-06,0.38483684062957374
1999-08-09,0.39271994829177576
1999-08-10,0.4034696280956229
1999-08-11,0.4132636964321108
1999-08-12,0.4197134375572169
1999-08-13,0.42496885061263756
1999-08-16,0.4268799602985386
1999-08-17,0.44288485050201454
1999-08-18,0.4588899254798882
1999-08-19,0.47202845215797606
1999-08-20,0.4844503521919272
1999-08-23,0.4944832742214182
1999-08-24,0.4849281311035178
1999-08-25,0.4815837979316744
1999-08-26,0.4840921044349667
1999-08-27,0.49555838108062356
1999-08-30,0.5024860084056855
1999-08-31,0.50965236425399
1999-09-01,0.5122800946235664
1999-09-02,0.5147881269454875
1999-09-03,0.5085771203040971
1999-09-07,0.5059494256973224
1999-09-08,0.5059494256973259
1999-09-09,0.5018883466720524
1999-09-10,0.49543866515160034
1999-09-13,0.4899443686008496
1999-09-14,0.4834946215152748
1999-09-15,0.4753728151321358
1999-09-16,0.46725085377692643
1999-09-17,0.45339571833610326
1999-09-20,0.4407351076602957
1999-09-21,0.4235356926917973
1999-09-22,0.3996474921703339
1999-09-23,0.3834037005901234
1999-09-24,0.382448214292522
1999-09-27,0.3731319010257643
1999-09-28,0.37050419449805577
1999-09-29,0.37432640194892425
1999-09-30,0.375281870365145
