,resid(t-5),resid(t-4),resid(t-3),resid(t-2),resid(t-1),resid(t)
1999-01-29,0.4382936283564747,0.44210472992561045,0.4394320293861564,0.43906860984317425,0.43913329477018465,0.4408052746832111
1999-02-01,0.44210472992561045,0.4394320293861564,0.43906860984317425,0.43913329477018465,0.4408052746832111,0.4410621564852301
1999-02-02,0.4394320293861564,0.43906860984317425,0.43913329477018465,0.4408052746832111,0.4410621564852301,0.43808000898291866
1999-02-03,0.43906860984317425,0.43913329477018465,0.4408052746832111,0.4410621564852301,0.43808000898291866,0.43800253541820927
1999-02-04,0.43913329477018465,0.4408052746832111,0.4410621564852301,0.43808000898291866,0.43800253541820927,0.4393933055806383
1999-02-05,0.4408052746832111,0.4410621564852301,0.43808000898291866,0.43800253541820927,0.4393933055806383,0.4430673017829313
1999-02-08,0.4410621564852301,0.43808000898291866,0.43800253541820927,0.4393933055806383,0.4430673017829313,0.440412169032981
1999-02-09,0.43808000898291866,0.43800253541820927,0.4393933055806383,0.4430673017829313,0.440412169032981,0.4384960537867398
1999-02-10,0.43800253541820927,0.4393933055806383,0.4430673017829313,0.440412169032981,0.4384960537867398,0.43714451518401404
1999-02-11,0.4393933055806383,0.4430673017829313,0.440412169032981,0.4384960537867398,0.43714451518401404,0.4388212365147343
1999-02-12,0.4430673017829313,0.440412169032981,0.4384960537867398,0.43714451518401404,0.4388212365147343,0.443249368256952
1999-02-16,0.440412169032981,0.4384960537867398,0.43714451518401404,0.4388212365147343,0.443249368256952,0.4414261343814881
1999-02-17,0.4384960537867398,0.43714451518401404,0.4388212365147343,0.443249368256952,0.4414261343814881,0.43847004011990093
1999-02-18,0.43714451518401404,0.4388212365147343,0.443249368256952,0.4414261343814881,0.43847004011990093,0.43854857135470815
1999-02-19,0.4388212365147343,0.443249368256952,0.4414261343814881,0.43847004011990093,0.43854857135470815,0.43876927535378485
1999-02-22,0.443249368256952,0.4414261343814881,0.43847004011990093,0.43854857135470815,0.43876927535378485,0.4401293021092218
1999-02-23,0.4414261343814881,0.43847004011990093,0.43854857135470815,0.43876927535378485,0.4401293021092218,0.4397880706871427
1999-02-24,0.43847004011990093,0.43854857135470815,0.43876927535378485,0.4401293021092218,0.4397880706871427,0.4428381050898781
1999-02-25,0.43854857135470815,0.43876927535378485,0.4401293021092218,0.4397880706871427,0.4428381050898781,0.44031664953681215
1999-02-26,0.43876927535378485,0.4401293021092218,0.4397880706871427,0.4428381050898781,0.44031664953681215,0.4373652185343381
1999-03-01,0.4401293021092218,0.4397880706871427,0.4428381050898781,0.44031664953681215,0.4373652185343381,0.4417413073728248
1999-03-02,0.4397880706871427,0.4428381050898781,0.44031664953681215,0.4373652185343381,0.4417413073728248,0.4413741414316784
1999-03-03,0.4428381050898781,0.44031664953681215,0.4373652185343381,0.4417413073728248,0.4413741414316784,0.4384699953559978
1999-03-04,0.44031664953681215,0.4373652185343381,0.4417413073728248,0.4413741414316784,0.4384699953559978,0.43732658684805226
1999-03-05,0.4373652185343381,0.4417413073728248,0.4413741414316784,0.4384699953559978,0.43732658684805226,0.43879525528550734
1999-03-08,0.4417413073728248,0.4413741414316784,0.4384699953559978,0.43732658684805226,0.43879525528550734,0.4416113700865812
1999-03-09,0.4413741414316784,0.4384699953559978,0.43732658684805226,0.43879525528550734,0.4416113700865812,0.44145210263567014
1999-03-10,0.4384699953559978,0.43732658684805226,0.43879525528550734,0.4416113700865812,0.44145210263567014,0.4408100329648785
1999-03-11,0.43732658684805226,0.43879525528550734,0.4416113700865812,0.44145210263567014,0.4408100329648785,0.43839261456285605
1999-03-12,0.43879525528550734,0.4416113700865812,0.44145210263567014,0.4408100329648785,0.43839261456285605,0.4374432426672957
1999-03-15,0.4416113700865812,0.44145210263567014,0.4408100329648785,0.43839261456285605,0.4374432426672957,0.44239132012641114
1999-03-16,0.44145210263567014,0.4408100329648785,0.43839261456285605,0.4374432426672957,0.44239132012641114,0.4396320853501929
1999-03-17,0.4408100329648785,0.43839261456285605,0.4374432426672957,0.44239132012641114,0.4396320853501929,0.4394840638561087
1999-03-18,0.43839261456285605,0.4374432426672957,0.44239132012641114,0.4396320853501929,0.4394840638561087,0.43984860270065024
1999-03-19,0.4374432426672957,0.44239132012641114,0.4396320853501929,0.4394840638561087,0.43984860270065024,0.4397832647061237
1999-03-22,0.44239132012641114,0.4396320853501929,0.4394840638561087,0.43984860270065024,0.4397832647061237,0.4418973173623586
1999-03-23,0.4396320853501929,0.4394840638561087,0.43984860270065024,0.4397832647061237,0.4418973173623586,0.43874815005949763
1999-03-24,0.4394840638561087,0.43984860270065024,0.4397832647061237,0.4418973173623586,0.43874815005949763,0.43836596663873173
1999-03-25,0.43984860270065024,0.4397832647061237,0.4418973173623586,0.43874815005949763,0.43836596663873173,0.4378725747768862
1999-03-26,0.4397832647061237,0.4418973173623586,0.43874815005949763,0.43836596663873173,0.4378725747768862,0.44032929739886156
1999-03-29,0.4418973173623586,0.43874815005949763,0.43836596663873173,0.4378725747768862,0.44032929739886156,0.4434573900101099
1999-03-30,0.43874815005949763,0.43836596663873173,0.4378725747768862,0.44032929739886156,0.4434573900101099,0.4379160682368816
1999-03-31,0.43836596663873173,0.4378725747768862,0.44032929739886156,0.4434573900101099,0.4379160682368816,0.44107002561026987
1999-04-01,0.4378725747768862,0.44032929739886156,0.4434573900101099,0.4379160682368816,0.44107002561026987,0.4401605649407714
1999-04-05,0.44032929739886156,0.4434573900101099,0.4379160682368816,0.44107002561026987,0.4401605649407714,0.4375473012271636
1999-04-06,0.4434573900101099,0.4379160682368816,0.44107002561026987,0.4401605649407714,0.4375473012271636,0.4391152965380764
1999-04-07,0.4379160682368816,0.44107002561026987,0.4401605649407714,0.4375473012271636,0.4391152965380764,0.4410361142732937
1999-04-08,0.44107002561026987,0.4401605649407714,0.4375473012271636,0.4391152965380764,0.4410361142732937,0.4415640841670133
1999-04-09,0.4401605649407714,0.4375473012271636,0.4391152965380764,0.4410361142732937,0.4415640841670133,0.44029058202353755
1999-04-12,0.4375473012271636,0.4391152965380764,0.4410361142732937,0.4415640841670133,0.44029058202353755,0.4386132627692408
1999-04-13,0.4391152965380764,0.4410361142732937,0.4415640841670133,0.44029058202353755,0.4386132627692408,0.4405193202711593
