,resid(t-5),resid(t-4),resid(t-3),resid(t-2),resid(t-1),resid(t)
1999-01-29,-0.0142355864165023,0.0207792228472895,-0.0037764332827146,-0.0071153802379224,-0.0065210821484005,0.0088403708817764
1999-02-01,0.0207792228472895,-0.0037764332827146,-0.0071153802379224,-0.0065210821484005,0.0088403708817764,0.0112004935754033
1999-02-02,-0.0037764332827146,-0.0071153802379224,-0.0065210821484005,0.0088403708817764,0.0112004935754033,-0.0161982319887666
1999-02-03,-0.0071153802379224,-0.0065210821484005,0.0088403708817764,0.0112004935754033,-0.0161982319887666,-0.0169100267394639
1999-02-04,-0.0065210821484005,0.0088403708817764,0.0112004935754033,-0.0161982319887666,-0.0169100267394639,-0.0041322114323087
1999-02-05,0.0088403708817764,0.0112004935754033,-0.0161982319887666,-0.0169100267394639,-0.0041322114323087,0.0296229309918682
1999-02-08,0.0112004935754033,-0.0161982319887666,-0.0169100267394639,-0.0041322114323087,0.0296229309918682,0.0052286803734996
1999-02-09,-0.0161982319887666,-0.0169100267394639,-0.0041322114323087,0.0296229309918682,0.0052286803734996,-0.0123757861193193
1999-02-10,-0.0169100267394639,-0.0041322114323087,0.0296229309918682,0.0052286803734996,-0.0123757861193193,-0.0247931582435224
1999-02-11,-0.0041322114323087,0.0296229309918682,0.0052286803734996,-0.0123757861193193,-0.0247931582435224,-0.009388143048135
1999-02-12,0.0296229309918682,0.0052286803734996,-0.0123757861193193,-0.0247931582435224,-0.009388143048135,0.0312956817033146
1999-02-16,0.0052286803734996,-0.0123757861193193,-0.0247931582435224,-0.009388143048135,0.0312956817033146,0.014544570447277
1999-02-17,-0.0123757861193193,-0.0247931582435224,-0.009388143048135,0.0312956817033146,0.014544570447277,-0.0126147888239418
1999-02-18,-0.0247931582435224,-0.009388143048135,0.0312956817033146,0.014544570447277,-0.0126147888239418,-0.0118932766421898
1999-02-19,-0.009388143048135,0.0312956817033146,0.014544570447277,-0.0126147888239418,-0.0118932766421898,-0.009865540489994
1999-02-22,0.0312956817033146,0.014544570447277,-0.0126147888239418,-0.0118932766421898,-0.009865540489994,0.0026298172356928
1999-02-23,0.014544570447277,-0.0126147888239418,-0.0118932766421898,-0.009865540489994,0.0026298172356928,-0.0005052745329635
1999-02-24,-0.0126147888239418,-0.0118932766421898,-0.009865540489994,0.0026298172356928,-0.0005052745329635,0.0275171675149398
1999-02-25,-0.0118932766421898,-0.009865540489994,0.0026298172356928,-0.0005052745329635,0.0275171675149398,0.0043510871426051
1999-02-26,-0.009865540489994,0.0026298172356928,-0.0005052745329635,0.0275171675149398,0.0043510871426051,-0.0227654280517949
1999-03-01,0.0026298172356928,-0.0005052745329635,0.0275171675149398,0.0043510871426051,-0.0227654280517949,0.0174402482392643
1999-03-02,-0.0005052745329635,0.0275171675149398,0.0043510871426051,-0.0227654280517949,0.0174402482392643,0.0140668809426489
1999-03-03,0.0275171675149398,0.0043510871426051,-0.0227654280517949,0.0174402482392643,0.0140668809426489,-0.012615200095985
1999-03-04,0.0043510871426051,-0.0227654280517949,0.0174402482392643,0.0140668809426489,-0.012615200095985,-0.0231203598483631
1999-03-05,-0.0227654280517949,0.0174402482392643,0.0140668809426489,-0.012615200095985,-0.0231203598483631,-0.0096268477295293
1999-03-08,0.0174402482392643,0.0140668809426489,-0.012615200095985,-0.0231203598483631,-0.0096268477295293,0.016246438729982
1999-03-09,0.0140668809426489,-0.012615200095985,-0.0231203598483631,-0.0096268477295293,0.016246438729982,0.0147831559193782
1999-03-10,-0.012615200095985,-0.0231203598483631,-0.0096268477295293,0.016246438729982,0.0147831559193782,0.0088840879861312
1999-03-11,-0.0231203598483631,-0.0096268477295293,0.016246438729982,0.0147831559193782,0.0088840879861312,-0.0133261425002707
1999-03-12,-0.0096268477295293,0.016246438729982,0.0147831559193782,0.0088840879861312,-0.0133261425002707,-0.0220485749100134
1999-03-15,0.016246438729982,0.0147831559193782,0.0088840879861312,-0.0133261425002707,-0.0220485749100134,0.0234122938992854
1999-03-16,0.0147831559193782,0.0088840879861312,-0.0133261425002707,-0.0220485749100134,0.0234122938992854,-0.0019384026514789
1999-03-17,0.0088840879861312,-0.0133261425002707,-0.0220485749100134,0.0234122938992854,-0.0019384026514789,-0.0032983623083594
1999-03-18,-0.0133261425002707,-0.0220485749100134,0.0234122938992854,-0.0019384026514789,-0.0032983623083594,5.086832202720864e-05
1999-03-19,-0.0220485749100134,0.0234122938992854,-0.0019384026514789,-0.0032983623083594,5.086832202720864e-05,-0.000549429879037
1999-03-22,0.0234122938992854,-0.0019384026514789,-0.0032983623083594,5.086832202720864e-05,-0.000549429879037,0.0188736028554232
1999-03-23,-0.0019384026514789,-0.0032983623083594,5.086832202720864e-05,-0.000549429879037,0.0188736028554232,-0.0100596308695575
1999-03-24,-0.0032983623083594,5.086832202720864e-05,-0.000549429879037,0.0188736028554232,-0.0100596308695575,-0.0135709724958935
1999-03-25,5.086832202720864e-05,-0.000549429879037,0.0188736028554232,-0.0100596308695575,-0.0135709724958935,-0.0181040508254607
1999-03-26,-0.000549429879037,0.0188736028554232,-0.0100596308695575,-0.0135709724958935,-0.0181040508254607,0.004467290415916
1999-03-29,0.0188736028554232,-0.0100596308695575,-0.0135709724958935,-0.0181040508254607,0.004467290415916,0.0332068986775699
1999-03-30,-0.0100596308695575,-0.0135709724958935,-0.0181040508254607,0.004467290415916,0.0332068986775699,-0.0177044510828836
1999-03-31,-0.0135709724958935,-0.0181040508254607,0.004467290415916,0.0332068986775699,-0.0177044510828836,0.0112727918092187
