Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-22 00:00:00-05:00,0.4013196734878822,0.44790120260157407,0.35593247526371086,0.3762369751930237,271468800,0.0,0.0
1999-01-25 00:00:00-05:00,0.40609696436831655,0.4204298096615589,0.37623697024574887,0.4156525135040283,51048000,0.0,0.0
1999-01-26 00:00:00-05:00,0.42042988312020463,0.4287911028429955,0.37743133972765586,0.3834038972854614,34320000,0.0,0.0
1999-01-27 00:00:00-05:00,0.3845982938567222,0.3941538462891095,0.3630985537579672,0.3822096586227417,24436800,0.0,0.0
1999-01-28 00:00:00-05:00,0.38220954226603443,0.3845981767728388,0.3786256200162714,0.38101521134376526,22752000,0.0,0.0
1999-01-29 00:00:00-05:00,0.38101530446482407,0.3822096356789907,0.36309853196144104,0.36309853196144104,24403200,0.0,0.0
1999-02-01 00:00:00-05:00,0.36309847631483055,0.37265402670917075,0.36309847631483055,0.3702653646469116,15470400,0.0,0.0
1999-02-02 00:00:00-05:00,0.3630984158799732,0.3726539646838679,0.3308497611296104,0.34159961342811584,26409600,0.0,0.0
1999-02-03 00:00:00-05:00,0.33682238539326553,0.35354389522719143,0.3344327937635743,0.34876564145088196,7512000,0.0,0.0
1999-02-04 00:00:00-05:00,0.35354383351956603,0.3774312709485528,0.348765580577254,0.36787667870521545,18192000,0.0,0.0
1999-02-05 00:00:00-05:00,0.3738483642645664,0.382209583773694,0.3642928137034662,0.37862566113471985,13684800,0.0,0.0
1999-02-08 00:00:00-05:00,0.3810152299222641,0.3822095609027695,0.36548805236816406,0.36548805236816406,15408000,0.0,0.0
1999-02-09 00:00:00-05:00,0.37265399591345255,0.3750426577783153,0.3463769657849728,0.35115519165992737,8697600,0.0,0.0
1999-02-10 00:00:00-05:00,0.3511551783859212,0.360709798146464,0.34159962914245023,0.3475712835788727,14822400,0.0,0.0
1999-02-11 00:00:00-05:00,0.34876561043716986,0.3917641496754809,0.34876561043716986,0.37743130326271057,13224000,0.0,0.0
1999-02-12 00:00:00-05:00,0.382209517364333,0.40131965834533023,0.382209517364333,0.39893099665641785,10972800,0.0,0.0
1999-02-16 00:00:00-05:00,0.4060969487698226,0.4228193846512929,0.3607097802235525,0.4013196527957916,21100800,0.0,0.0
1999-02-17 00:00:00-05:00,0.3917641686504398,0.39654242223327985,0.3726540247813947,0.37982091307640076,6772800,0.0,0.0
1999-02-18 00:00:00-05:00,0.3917641814062911,0.39654243514471116,0.3750426990426965,0.3857925534248352,7070400,0.0,0.0
1999-02-19 00:00:00-05:00,0.382209517364333,0.4060969543854227,0.3774312645036134,0.39893099665641785,7536000,0.0,0.0
1999-02-22 00:00:00-05:00,0.4060969487698226,0.41087520156446744,0.3798208504231724,0.4013196527957916,20524800,0.0,0.0
1999-02-23 00:00:00-05:00,0.41087517485126446,0.4287909835752586,0.3869867828929945,0.4204297661781311,13809600,0.0,0.0
1999-02-24 00:00:00-05:00,0.48253944850129316,0.5016496185581478,0.44312390262698975,0.45387378334999084,61276800,0.0,0.0
1999-02-25 00:00:00-05:00,0.472984006714505,0.4873168554028233,0.4323741229629932,0.4395410120487213,14913600,0.0,0.0
1999-02-26 00:00:00-05:00,0.4443181635894325,0.4586510075761884,0.4156524756159207,0.4192354679107666,17260800,0.0,0.0
1999-03-01 00:00:00-05:00,0.42998543316511256,0.4395409839534982,0.4013197376207717,0.42162421345710754,9216000,0.0,0.0
1999-03-02 00:00:00-05:00,0.42042983399386513,0.42281942536271183,0.4108752411258335,0.4180411994457245,5524800,0.0,0.0
1999-03-03 00:00:00-05:00,0.4204298346755743,0.4204298346755743,0.38698684594182525,0.3893755078315735,6139200,0.0,0.0
1999-03-04 00:00:00-05:00,0.40848657217093143,0.41087523401546977,0.37743128909400225,0.38101521134376526,5736000,0.0,0.0
1999-03-05 00:00:00-05:00,0.3845981722375445,0.4037083415759862,0.3845981722375445,0.4025140106678009,7876800,0.0,0.0
1999-03-08 00:00:00-05:00,0.39176410899248987,0.4204297988412239,0.3845981512717533,0.408486545085907,7588800,0.0,0.0
1999-03-09 00:00:00-05:00,0.4072913656849371,0.4275967710043514,0.4072913656849371,0.42162421345710754,14318400,0.0,0.0
1999-03-10 00:00:00-05:00,0.42759663844852075,0.42759663844852075,0.4084864996167476,0.41445812582969666,23534400,0.0,0.0
1999-03-11 00:00:00-05:00,0.4072913240714062,0.4144582119667796,0.39654240012168884,0.39654240012168884,5428800,0.0,0.0
1999-03-12 00:00:00-05:00,0.3989310301980705,0.3989310301980705,0.38220954950006325,0.3893755078315735,9076800,0.0,0.0
