,resid
1986-03-13,-0.005430491272757338
1986-03-14,0.005956890240859414
1986-03-17,-0.008578447240969646
1986-03-18,0.0021773681394008136
1986-03-19,0.003526095898751037
1986-03-20,-0.0014626112621535631
1986-03-21,0.006160819337319586
1986-03-24,-0.012010427552837929
1986-03-25,0.0011051707319135436
1986-03-26,0.003847909571531567
1986-03-27,-0.0004975114803991479
1986-03-31,0.006804226145698345
1986-04-01,-0.01093808560409706
1986-04-02,0.0017485544434900817
1986-04-03,0.003847919257289006
1986-04-04,-0.0011409108381963593
1986-04-07,0.005839121893596782
1986-04-08,-0.010830841201918764
1986-04-09,0.001963001524580535
1986-04-10,0.003204524369839817
1986-04-11,-0.001248137358975184
1986-04-14,0.0066968625342332935
1986-04-15,-0.011152798670906666
1986-04-16,0.0029283613315963354
1986-04-17,0.004813151659370371
1986-04-18,-0.0021058921557189476
1986-04-21,0.006643618450112783
1986-04-22,-0.0120643988136253
1986-04-23,-0.001576182956324802
1986-04-24,0.004008771331911359
1986-04-25,0.001594032641101697
1986-04-28,0.008949268416123271
1986-04-29,-0.010187698889155872
1986-04-30,0.0012122586718946423
1986-05-01,0.0026683515328223047
1986-05-02,-0.0016770792048658423
1986-05-05,0.006268057779026988
1986-05-06,-0.01029467730559729
1986-05-07,0.0018557891599099543
1986-05-08,0.0036334431189412233
1986-05-09,-0.001998775903533712
1986-05-12,0.006696989194107188
1986-05-13,-0.009758514154333448
1986-05-14,0.0016413212171967175
1986-05-15,0.003204513193966965
1986-05-16,-0.0008192178648225141
1986-05-19,0.006804229870990482
1986-05-20,-0.01029467134513017
1986-05-21,0.0013196155778385068
1986-05-22,0.0026683440822435536
1986-05-23,-0.0028566491645037584
1986-05-27,0.00637516881580366
1986-05-28,-0.010187692928690654
1986-05-29,0.0022849709144979304
1986-05-30,0.005563761891728433
1986-06-02,-0.0017843079608186574
1986-06-03,0.006268054798792457
1986-06-04,-0.010938099015134418
1986-06-05,0.002821040188446558
1986-06-06,0.004813296200639935
1986-06-09,-0.002856920365641597
1986-06-10,0.00658961589689419
1986-06-11,-0.009222355473419545
1986-06-12,0.0008907005540311182
1986-06-13,0.0027755892294729686
1986-06-16,-0.002106025521109151
1986-06-17,0.0073403960024794315
1986-06-18,-0.010133817780398045
1986-06-19,0.0012659982196211424
1986-06-20,0.003097263576389694
1986-06-23,-0.0007655870955686323
1986-06-24,0.007501254037572651
1986-06-25,-0.009865745890522654
1986-06-26,0.0005689785233869401
1986-06-27,0.0018104767817313152
1986-06-30,-0.0008192119043554358
1986-07-01,0.006911457136820425
1986-07-02,-0.010187445569419366
1986-07-03,0.0036787599674623335
1986-07-07,0.0036335690337462364
1986-07-08,-0.0013551262062306952
1986-07-09,0.00562439914102418
1986-07-10,-0.01195690928735912
1986-07-11,0.002338335698023335
1986-07-14,0.0025611026603007733
1986-07-15,-0.0024814610224496484
1986-07-16,0.007179300293874118
1986-07-17,-0.009651022392886777
1986-07-18,0.001855908369195772
1986-07-21,0.002882812024954917
1986-07-22,-0.0004975122254643172
1986-07-23,0.0055174177443483565
1986-07-24,-0.0096512779478076
1986-07-25,0.003464289044516522
1986-07-28,0.003848053367737919
1986-07-29,-0.0015696112852799904
1986-07-30,0.005838878259612045
1986-07-31,-0.010723742086078108
1986-08-01,0.0016413294128313398
1986-08-04,0.0035262233036807405
1986-08-05,-0.0014626358490731537
1986-08-06,0.006482529447028581
1986-08-07,-0.011259776342298699
1986-08-08,0.0007833317271660591
1986-08-11,0.003525972219105956
1986-08-12,-0.0010334377032067805
1986-08-13,0.006536251113363158
1986-08-14,-0.009490415442370077
1986-08-15,0.002606420253885117
1986-08-18,0.0031509017962222576
1986-08-19,-0.0015162211697782846
1986-08-20,0.006696980253413128
1986-08-21,-0.009972986567400286
1986-08-22,0.001534090971124791
1986-08-25,0.0033117494004984756
1986-08-26,-0.0017843139212820164
1986-08-27,0.006911582306573321
1986-08-28,-0.009329330909633903
1986-08-29,0.00217723402894916
1986-09-02,0.002024703325634652
1986-09-03,-0.005001561049770146
1986-09-04,0.007340629950714272
1986-09-05,-0.008257108915230824
1986-09-08,0.0019630253664433247
1986-09-09,0.0045986613649154125
1986-09-10,-0.00039002493435809143
1986-09-11,0.005838867083737368
1986-09-12,-0.011903300869839446
1986-09-15,0.0016412005177899496
1986-09-16,0.0027753373998461364
1986-09-17,-0.0011406657140944055
1986-09-18,0.007340508506251688
1986-09-19,-0.010187448549648221
1986-09-22,0.0013732433668541518
1986-09-23,0.00422335177839119
1986-09-24,-0.0011406657140905752
1986-09-25,0.006321424052669617
1986-09-26,-0.00991949139871066
1986-09-29,0.0013196319691132748
1986-09-30,0.0032045288401915447
1986-10-01,-0.0018915650289785028
1986-10-02,0.005410046682310237
1986-10-03,-0.012278737116235675
1986-10-06,0.0029819980613145754
1986-10-07,0.0036335809546804206
1986-10-08,-0.002052527372190705
1986-10-09,0.0072866445338281285
1986-10-10,-0.007506114232914338
1986-10-13,0.00013979974903725618
1986-10-14,0.001810132564910338
1986-10-15,-0.0004972827475737385
1986-10-16,0.006375389352992699
1986-10-17,-0.010294663894553389
1986-10-20,0.0012124002329259977
1986-10-21,0.004705781342393694
1986-10-22,-0.000819210414240113
1986-10-23,0.006375165835567311
1986-10-24,-0.011957073200126612
1986-10-27,0.0025530681363552634
1986-10-28,0.005242092015154137
1986-10-29,-0.00258857727462451
1986-10-30,0.006965071514795847
1986-10-31,-0.011688709247488747
1986-11-03,-7.452514253485348e-05
1986-11-04,0.0023463881033683655
1986-11-05,0.0004678431112081654
