,trend
1986-03-13,0.0639151658117769
1986-03-14,0.06293930560350414
1986-03-17,0.06155593171715718
1986-03-18,0.061341469734907346
1986-03-19,0.06037636995315664
1986-03-20,0.05887497588992213
1986-03-21,0.057909877598285864
1986-03-24,0.05748094171285387
1986-03-25,0.057588175684217015
1986-03-26,0.05790987685322912
1986-03-27,0.05844604596495442
1986-03-31,0.058874976634977004
1986-04-01,0.059089445322756305
1986-04-02,0.059089445322755375
1986-04-03,0.058982210606335475
1986-04-04,0.05908944532275163
1986-04-07,0.05930390730500147
1986-04-08,0.059518374502655104
1986-04-09,0.05994730815291592
1986-04-10,0.06069794148206786
1986-04-11,0.061341340094806455
1986-04-14,0.06219933331013026
1986-04-15,0.06305732503533121
1986-04-16,0.06327191442251262
1986-04-17,0.06337927281856912
1986-04-18,0.06327204182744232
1986-04-21,0.06278936937451737
1986-04-22,0.06343277022242434
1986-04-23,0.06536309644580056
1986-04-24,0.06740065738558733
1986-04-25,0.06922374814748877
1986-04-28,0.07067152410745098
1986-04-29,0.07067152410745471
1986-04-30,0.06981353461742401
1986-05-01,0.06874107718467638
1986-05-02,0.06820491254329532
1986-05-05,0.06799044758081287
1986-05-06,0.06809767931699454
1986-05-07,0.06809767931699641
1986-05-08,0.06831214427947326
1986-05-09,0.06852660924196319
1986-05-12,0.06863384097814486
1986-05-13,0.06863384097814298
1986-05-14,0.06884830594062544
1986-05-15,0.06874107420444751
1986-05-16,0.06841937601566428
1986-05-19,0.06799044162034577
1986-05-20,0.06756150722503101
1986-05-21,0.06702533960341735
1986-05-22,0.06713257133960462
1986-05-23,0.06777596920728272
1986-05-27,0.06895566135644839
1986-05-28,0.07067151814698949
1986-05-29,0.07195844501256943
1986-05-30,0.07281643748283274
1986-06-02,0.07313826233148613
1986-06-03,0.07335273772478179
1986-06-04,0.07303104847669266
1986-06-05,0.0724947527050972
1986-06-06,0.07195845693349615
1986-06-09,0.07152939587831497
1986-06-10,0.07034969776868596
1986-06-11,0.06916999965906069
1986-06-12,0.06852660179137884
1986-06-13,0.06809767335652932
1986-06-16,0.06756151169538462
1986-06-17,0.06745427548885682
1986-06-18,0.06740065366029889
1986-06-19,0.06761512309313121
1986-06-20,0.06750788986683229
1986-06-23,0.06729342043399811
1986-06-24,0.0667572513222672
1986-06-25,0.06606023460626939
1986-06-26,0.06563129723072202
1986-06-27,0.06530959308147356
1986-06-30,0.0652023583650574
1986-07-01,0.06573852747678832
1986-07-02,0.0658457607030891
1986-07-03,0.06520236134529002
1986-07-07,0.06402266696095504
1986-07-08,0.06252127587795407
1986-07-09,0.06112711355090217
1986-07-10,0.060108269006018365
1986-07-11,0.05957197397947312
1986-07-14,0.06000091060996281
1986-07-15,0.060966135561469216
1986-07-16,0.06171689555048943
1986-07-17,0.06262850686907431
1986-07-18,0.06380820125341678
1986-07-21,0.06423725783824996
1986-07-22,0.06488065868616628
1986-07-23,0.06552406102419049
1986-07-24,0.06584576666355434
1986-07-25,0.06541683226823583
1986-07-28,0.06488054469227866
1986-07-29,0.06380808576941566
1986-07-30,0.062521162629126
1986-07-31,0.061555936187509847
1986-08-01,0.060805176198484016
1986-08-04,0.06037624254822694
1986-08-05,0.05994731038809272
1986-08-06,0.05973284319043347
1986-08-07,0.05994730964303504
1986-08-08,0.0605908378958661
1986-08-11,0.06144882589579453
1986-08-12,0.06273575350642654
1986-08-13,0.06396906152367929
1986-08-14,0.06461258679628522
1986-08-15,0.06493428945541645
1986-08-18,0.06504152268171723
1986-08-19,0.06482705026864856
1986-08-20,0.06434449851512572
1986-08-21,0.06402279585600013
1986-08-22,0.06359385997057186
1986-08-25,0.0632721617817905
1986-08-26,0.06295046359300539
1986-08-27,0.06252140551805684
1986-08-28,0.06177064925432505
1986-08-29,0.060805426537991696
1986-09-02,0.06080542653798983
1986-09-03,0.06134159713983611
1986-09-04,0.062092357873915885
1986-09-05,0.06337928026914597
1986-09-08,0.06477343887090384
1986-09-09,0.06466608047485577
1986-09-10,0.06370085403322837
1986-09-11,0.06305732876062618
1986-09-12,0.062199340015645685
1986-09-15,0.06187763735651821
1986-09-16,0.06219946071505435
1986-09-17,0.06284298151731417
1986-09-18,0.06316480413079076
1986-09-19,0.06370109170675166
1986-09-22,0.0637547075748425
1986-09-23,0.06343288421631009
1986-09-24,0.06311106085776834
1986-09-25,0.06257477179169393
1986-09-26,0.0618240177631352
1986-09-29,0.06112687364220208
1986-09-30,0.060697937011716135
1986-10-01,0.06037623956799807
1986-10-02,0.06134146600961611
1986-10-03,0.06257477626204191
1986-10-06,0.06429063975810968
1986-10-07,0.06643543615936746
1986-10-08,0.06911651939153597
1986-10-09,0.07018885016440972
1986-10-10,0.07120756953954248
1986-10-13,0.0724944919347707
1986-10-14,0.07335248142480515
1986-10-15,0.0739958867430657
1986-10-16,0.07539005279540605
1986-10-17,0.07721314579248242
1986-10-20,0.07839272171258926
1986-10-21,0.07957229763269238
1986-10-22,0.08021569401025698
1986-10-23,0.08128815591335634
1986-10-24,0.08209253698587306
1986-10-27,0.0824143633246362
1986-10-28,0.08305789232253805
1986-10-29,0.08359419256448147
1986-10-30,0.08391589522361831
1986-10-31,0.08450567424297109
1986-11-03,0.08665046989917681
1986-11-04,0.08890249133110271
1986-11-05,0.0912617504596699
1986-11-06,0.09254854172468373
1986-11-07,0.09329930096864064
1986-11-10,0.09297759830952065
1986-11-11,0.09195875823497549
1986-11-12,0.09120799303054399
1986-11-13,0.09131535589695128
1986-11-14,0.0903501302003853
1986-11-17,0.09002830535173192
