,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13,0.0546928414907784,0.0627359789691898,0.0546928414907784,0.0600545220077037,1031788800,0.0,0.0
1986-03-14,0.0600545325759565,0.0632721581553651,0.0600545325759565,0.0621992051601409,308160000,0.0,0.0
1986-03-17,0.0621992101899149,0.0638083314613076,0.0621992101899149,0.0632721632719039,133171200,0.0,0.0
1986-03-18,0.0632721716899949,0.0638083399507334,0.0611268819437769,0.0616630502045154,67766400,0.0,0.0
1986-03-19,0.0616630545383664,0.0621992228367884,0.0600545496431006,0.0605907179415226,47894400,0.0,0.0
1986-03-20,0.0605907169658164,0.0605907169658164,0.0584460438066648,0.0589822120964527,58435200,0.0,0.0
1986-03-21,0.058982211093392,0.0600545476547315,0.0563013696900433,0.0573737062513828,59990400,0.0,0.0
1986-03-24,0.0573736975539027,0.0573736975539027,0.0552290247563422,0.0557651929557323,65289600,0.0,0.0
1986-03-25,0.055765221793031,0.0568375587463379,0.0552290533163775,0.0568375587463378,32083200,0.0,0.0
1986-03-26,0.056837533790662,0.0589822067556135,0.0563013655494242,0.0584460385143756,22752000,0.0,0.0
1986-03-27,0.0584460453454311,0.0595183819532394,0.0584460453454311,0.0595183819532394,16848000,0.0,0.0
1986-03-31,0.0595183803862406,0.0595183803862406,0.0579098755168769,0.0589822120964527,12873600,0.0,0.0
1986-04-01,0.0589822067556135,0.0589822067556135,0.0584460385143756,0.0584460385143756,11088000,0.0,0.0
1986-04-02,0.0584460438066648,0.0600545486760285,0.0584460438066648,0.0589822120964527,27014400,0.0,0.0
1986-04-03,0.0595183819532394,0.0611268868649518,0.0595183819532394,0.0595183819532394,23040000,0.0,0.0
1986-04-04,0.0595183819532394,0.0600545502571435,0.0595183819532394,0.0595183819532394,26582400,0.0,0.0
1986-04-07,0.0595183749968514,0.0600545432380892,0.0573737020318999,0.0584460385143756,16560000,0.0,0.0
1986-04-08,0.0584460438066648,0.0600545486760285,0.0584460438066648,0.0589822120964527,10252800,0.0,0.0
1986-04-09,0.0589821859043187,0.0605906900593963,0.0589821859043187,0.0600545220077037,12153600,0.0,0.0
1986-04-10,0.0600545496431006,0.0611268862399445,0.0589822130462567,0.0605907179415226,13881600,0.0,0.0
1986-04-11,0.0611268819437769,0.0627360034292563,0.0611268819437769,0.0616630502045154,17222400,0.0,0.0
1986-04-14,0.0616630370140948,0.062735990009319,0.0616630370140948,0.0621992051601409,12153600,0.0,0.0
1986-04-15,0.0621992051601409,0.0621992051601409,0.0600545325759565,0.0621992051601409,9302400,0.0,0.0
1986-04-16,0.0621991990091513,0.0648806561773397,0.0616630309161278,0.0643444880843162,31910400,0.0,0.0
1986-04-17,0.064344508306028,0.0648806765675544,0.064344508306028,0.0648806765675544,22003200,0.0,0.0
1986-04-18,0.0648806699683731,0.0648806699683731,0.0621992122302141,0.0627359971404075,21628800,0.0,0.0
1986-04-21,0.0627359971404075,0.0632721653473989,0.0611268758162313,0.0627359971404075,22924800,0.0,0.0
