,resid
2010-06-29,0.10180483703690929
2010-06-30,0.1066243002159846
2010-07-01,0.000688802456055515
2010-07-02,-0.08310229692208061
2010-07-06,0.012078033780132752
2010-07-07,-0.06712891216198785
2010-07-08,0.009997384284292012
2010-07-09,-0.0481110222586002
2010-07-12,-0.1329686394666464
2010-07-13,0.12354420313746275
2010-07-14,0.07433825378498787
2010-07-15,-0.04933605935734283
2010-07-16,-0.05517774894314764
2010-07-19,0.016764737036364483
2010-07-20,0.11087762007625715
2010-07-21,-0.02246190662303233
2010-07-22,-0.019869263436044858
2010-07-23,-0.030911410594753996
2010-07-26,-0.06790184888589436
2010-07-27,0.130344640111032
2010-07-28,0.040337642479723206
2010-07-29,-0.04613559987706469
2010-07-30,-0.11917804553587275
2010-08-02,-0.06870183858621672
2010-08-03,0.2148778546801087
2010-08-04,0.05420444851003186
2010-08-05,-0.04440284516971068
2010-08-06,-0.0898443825490719
2010-08-09,-0.05203528318153107
2010-08-10,0.16421161780270513
2010-08-11,-0.013528934668701816
2010-08-12,-0.08480280187295228
2010-08-13,-0.06544457748015009
2010-08-16,-0.05403549585091584
2010-08-17,0.1710116494646368
2010-08-18,0.015937670517753126
2010-08-19,-0.06293566968606254
2010-08-20,-0.06997801139433213
2010-08-23,-0.02403561982859527
2010-08-24,0.11741124281791085
2010-08-25,0.036738213349153774
2010-08-26,-0.03200245645209462
2010-08-27,-0.06611152961331113
2010-08-30,-0.06976866636023694
2010-08-31,0.10301159510520821
2010-09-01,0.03033765201648147
2010-09-02,-0.00013578679723843384
2010-09-03,-0.04677783324797746
2010-09-07,-0.09190242204417122
2010-09-08,0.1602110255709193
2010-09-09,0.032605036545567394
2010-09-10,-0.0733356549994579
2010-09-13,-0.07811137511810229
2010-09-14,-0.06216885957467845
2010-09-15,0.21061102042106786
2010-09-16,0.017404660034959933
2010-09-17,-0.08746903684303506
2010-09-20,-0.03104456737119221
2010-09-21,-0.03963544282661648
2010-09-22,0.11834479460626615
2010-09-23,-0.014595547866048504
2010-09-24,-0.04920280721350064
2010-09-27,-0.07571078612882676
2010-09-28,-0.036702083680528644
2010-09-29,0.21154423842338724
2010-09-30,-0.018594948004883323
2010-10-01,-0.06440284993814524
2010-10-04,-0.045177973056621856
2010-10-05,-0.04443545255411209
2010-10-06,0.13007801661402277
2010-10-07,0.018738039780435693
2010-10-08,-0.031735856796973626
2010-10-11,-0.07251116111359834
2010-10-12,-0.08443562898386338
2010-10-13,0.15034464487939106
2010-10-14,0.045137795258368855
2010-10-15,-0.0285362079398341
2010-10-18,-0.07771076037962021
2010-10-19,-0.09736871633277357
2010-10-20,0.1564782727709413
2010-10-21,0.03553763275223492
2010-10-22,-0.04613624360722831
2010-10-25,-0.06917759254057254
2010-10-26,-0.04870223912940687
2010-10-27,0.1286112178316439
2010-10-28,0.014471682358591025
2010-10-29,-0.002936060692517249
2010-11-01,-0.06891139819701075
2010-11-02,-0.13670186910379967
2010-11-03,0.07954448351770196
2010-11-04,0.12127140407642306
2010-11-05,-0.016669423844047203
2010-11-08,-0.10891114547331171
2010-11-09,-0.18176870259987343
2010-11-10,0.2778112042894987
2010-11-11,-0.007128730963895498
2010-11-12,-0.01653602864906297
2010-11-15,0.01868883297366397
2010-11-16,-0.08896882447948408
2010-11-17,0.09994460234551908
2010-11-18,-0.027395168494391005
2010-11-19,-0.08160281922978949
2010-11-22,-0.027711022640064642
2010-11-23,-0.029768823716526907
2010-11-24,0.20194462428001805
2010-11-26,0.046871408272564245
2010-11-29,-0.0784024551169353
2010-11-30,0.0028219096414597855
2010-12-01,-0.019102310273535608
2010-12-02,0.11741160044578439
2010-12-03,-0.008995739173096436
2010-12-06,-0.12346900251076717
2010-12-07,-0.0631777413137834
2010-12-08,-0.017235683534044935
2010-12-09,0.1744782317629259
2010-12-10,0.060204156685670966
2010-12-13,-0.029735524918278654
2010-12-14,-0.17491101100526107
2010-12-15,-0.10910265359628725
2010-12-16,0.1724779714098297
2010-12-17,0.04007168655473297
2010-12-20,-0.03986962583228278
2010-12-21,-0.01997743918972994
2010-12-22,0.0744975575472163
2010-12-23,0.1919446815004973
2010-12-27,-0.16966234798354912
2010-12-28,-0.09280248429937685
2010-12-29,0.014289223407906282
2010-12-30,-0.08963546666849721
2010-12-31,0.13181086668878697
2011-01-03,0.023804863739806663
2011-01-04,-0.053469450737661815
2011-01-05,-0.09131101443845313
2011-01-06,-0.05336882982002601
2011-01-07,0.18301139960199245
2011-01-10,0.07593825702745288
2011-01-11,-0.06346963193580454
2011-01-12,-0.05731140449124983
2011-01-13,-0.07683544072854333
2011-01-14,0.1471450913896946
2011-01-18,0.07833758239824123
2011-01-19,-0.04880264547036447
2011-01-20,-0.1530443556554929
2011-01-21,-0.11990225229012642
2011-01-24,0.18341158518699044
2011-01-25,0.046071108628112194
2011-01-26,-0.02440264966650104
2011-01-27,-0.03491143062190194
2011-01-28,-0.09296865377177412
2011-01-31,0.14007829317956058
2011-02-01,0.025271233368709005
2011-02-02,-0.027602679993350608
2011-02-03,-0.06157797648986241
2011-02-04,-0.08830222997414973
2011-02-07,0.11167803893000963
2011-02-08,0.09247160797198423
2011-02-09,-0.05226960923835718
2011-02-10,-0.07877777888854898
2011-02-11,-0.06243569764839897
2011-02-14,0.122211419438393
2011-02-15,-0.018195096205869517
2011-02-16,0.046530930732038324
2011-02-17,-0.03971136882382653
2011-02-18,-0.06190242681253268
2011-02-22,0.09634479174523072
2011-02-23,-0.025795546721604064
2011-02-24,-0.050802643562977555
2011-02-25,-0.0334443695791341
