,resid(t-5),resid(t-4),resid(t-3),resid(t-2),resid(t-1),resid(t)
2010-07-07,0.5208329052923584,0.5209542968916567,0.5182860164177273,0.5161755042750796,0.5185728859203748,0.5165778384459588
2010-07-08,0.5209542968916567,0.5182860164177273,0.5161755042750796,0.5185728859203748,0.5165778384459588,0.5185204789695392
2010-07-09,0.5182860164177273,0.5161755042750796,0.5185728859203748,0.5165778384459588,0.5185204789695392,0.5170568569558784
2010-07-12,0.5161755042750796,0.5185728859203748,0.5165778384459588,0.5185204789695392,0.5170568569558784,0.514919481592112
2010-07-13,0.5185728859203748,0.5165778384459588,0.5185204789695392,0.5170568569558784,0.514919481592112,0.5213804717578803
2010-07-14,0.5165778384459588,0.5185204789695392,0.5170568569558784,0.514919481592112,0.5213804717578803,0.5201410829162296
2010-07-15,0.5185204789695392,0.5170568569558784,0.514919481592112,0.5213804717578803,0.5201410829162296,0.517026000985599
2010-07-16,0.5170568569558784,0.514919481592112,0.5213804717578803,0.5201410829162296,0.517026000985599,0.5168788617679981
2010-07-19,0.514919481592112,0.5213804717578803,0.5201410829162296,0.517026000985599,0.5168788617679981,0.5186909335913646
2010-07-20,0.5213804717578803,0.5201410829162296,0.517026000985599,0.5168788617679981,0.5186909335913646,0.5210614285951228
2010-07-21,0.5201410829162296,0.517026000985599,0.5168788617679981,0.5186909335913646,0.5210614285951228,0.5177029013496003
2010-07-22,0.517026000985599,0.5168788617679981,0.5186909335913646,0.5210614285951228,0.5177029013496003,0.5177682042871236
2010-07-23,0.5168788617679981,0.5186909335913646,0.5210614285951228,0.5177029013496003,0.5177682042871236,0.517490077065589
2010-07-26,0.5186909335913646,0.5210614285951228,0.5177029013496003,0.5177682042871236,0.517490077065589,0.5165583698824311
2010-07-27,0.5210614285951228,0.5177029013496003,0.5177682042871236,0.517490077065589,0.5165583698824311,0.5215517596979425
2010-07-28,0.5177029013496003,0.5177682042871236,0.517490077065589,0.5165583698824311,0.5215517596979425,0.5192846828504736
2010-07-29,0.5177682042871236,0.517490077065589,0.5165583698824311,0.5215517596979425,0.5192846828504736,0.5171066134688497
2010-07-30,0.517490077065589,0.5165583698824311,0.5215517596979425,0.5192846828504736,0.5171066134688497,0.5152668360982735
2010-08-02,0.5165583698824311,0.5215517596979425,0.5192846828504736,0.5171066134688497,0.5152668360982735,0.516538219914367
2010-08-03,0.5215517596979425,0.5192846828504736,0.5171066134688497,0.5152668360982735,0.516538219914367,0.5236809640779919
2010-08-04,0.5192846828504736,0.5171066134688497,0.5152668360982735,0.516538219914367,0.5236809640779919,0.519633956970564
2010-08-05,0.5171066134688497,0.5152668360982735,0.516538219914367,0.5236809640779919,0.519633956970564,0.5171502577207719
