,resid(t-5),resid(t-4),resid(t-3),resid(t-2),resid(t-1),resid(t)
1997-05-22,0.43809270386560833,0.43339433775353303,0.43580763020410473,0.43574182851795706,0.43404733162402703,0.43634016368125755
1997-05-23,0.43339433775353303,0.43580763020410473,0.43574182851795706,0.43404733162402703,0.43634016368125755,0.433323430405497
1997-05-27,0.43580763020410473,0.43574182851795706,0.43404733162402703,0.43634016368125755,0.433323430405497,0.43615652413482403
1997-05-28,0.43574182851795706,0.43404733162402703,0.43634016368125755,0.433323430405497,0.43615652413482403,0.43547303605317517
1997-05-29,0.43404733162402703,0.43634016368125755,0.433323430405497,0.43615652413482403,0.43547303605317517,0.43451632342427693
1997-05-30,0.43634016368125755,0.433323430405497,0.43615652413482403,0.43547303605317517,0.43451632342427693,0.4369292756064449
1997-06-02,0.433323430405497,0.43615652413482403,0.43547303605317517,0.43451632342427693,0.4369292756064449,0.4334092865306758
1997-06-03,0.43615652413482403,0.43547303605317517,0.43451632342427693,0.4369292756064449,0.4334092865306758,0.43565886966084266
1997-06-04,0.43547303605317517,0.43451632342427693,0.4369292756064449,0.4334092865306758,0.43565886966084266,0.4348609500018449
1997-06-05,0.43451632342427693,0.4369292756064449,0.4334092865306758,0.43565886966084266,0.4348609500018449,0.4345506748092396
1997-06-06,0.4369292756064449,0.4334092865306758,0.43565886966084266,0.4348609500018449,0.4345506748092396,0.4373926228789918
1997-06-09,0.4334092865306758,0.43565886966084266,0.4348609500018449,0.4345506748092396,0.4373926228789918,0.43372382956735994
1997-06-10,0.43565886966084266,0.4348609500018449,0.4345506748092396,0.4373926228789918,0.43372382956735994,0.4355445261232674
1997-06-11,0.4348609500018449,0.4345506748092396,0.4373926228789918,0.43372382956735994,0.4355445261232674,0.43511261071221125
1997-06-12,0.4345506748092396,0.4373926228789918,0.43372382956735994,0.4355445261232674,0.43511261071221125,0.4347794497605211
1997-06-13,0.4373926228789918,0.43372382956735994,0.4355445261232674,0.43511261071221125,0.4347794497605211,0.4370780359860632
1997-06-16,0.43372382956735994,0.4355445261232674,0.43511261071221125,0.4347794497605211,0.4370780359860632,0.4333520706601793
1997-06-17,0.4355445261232674,0.43511261071221125,0.4347794497605211,0.4370780359860632,0.4333520706601793,0.43554443824713635
1997-06-18,0.43511261071221125,0.4347794497605211,0.4370780359860632,0.4333520706601793,0.43554443824713635,0.4353528944910441
1997-06-19,0.4347794497605211,0.4370780359860632,0.4333520706601793,0.43554443824713635,0.4353528944910441,0.43463079869422594
1997-06-20,0.4370780359860632,0.4333520706601793,0.43554443824713635,0.4353528944910441,0.43463079869422594,0.4370379299418603
1997-06-23,0.4333520706601793,0.43554443824713635,0.4353528944910441,0.43463079869422594,0.4370379299418603,0.43319188965642524
1997-06-24,0.43554443824713635,0.4353528944910441,0.43463079869422594,0.4370379299418603,0.43319188965642524,0.4357103744010581
1997-06-25,0.4353528944910441,0.43463079869422594,0.4370379299418603,0.43319188965642524,0.4357103744010581,0.4354672815575789
1997-06-26,0.43463079869422594,0.4370379299418603,0.43319188965642524,0.4357103744010581,0.4354672815575789,0.43461935565104226
1997-06-27,0.4370379299418603,0.43319188965642524,0.4357103744010581,0.4354672815575789,0.43461935565104226,0.43682630916404497
1997-06-30,0.43319188965642524,0.4357103744010581,0.4354672815575789,0.43461935565104226,0.43682630916404497,0.4333234302418544
1997-07-01,0.4357103744010581,0.4354672815575789,0.43461935565104226,0.43682630916404497,0.4333234302418544,0.43520129897565624
1997-07-02,0.4354672815575789,0.43461935565104226,0.43682630916404497,0.4333234302418544,0.43520129897565624,0.4347580277429744
1997-07-03,0.43461935565104226,0.43682630916404497,0.4333234302418544,0.43520129897565624,0.4347580277429744,0.43489390261142086
1997-07-07,0.43682630916404497,0.4333234302418544,0.43520129897565624,0.4347580277429744,0.43489390261142086,0.4368205990156197
1997-07-08,0.4333234302418544,0.43520129897565624,0.4347580277429744,0.43489390261142086,0.4368205990156197,0.43370665362941463
1997-07-09,0.43520129897565624,0.4347580277429744,0.43489390261142086,0.4368205990156197,0.43370665362941463,0.4358648234919071
1997-07-10,0.4347580277429744,0.43489390261142086,0.4368205990156197,0.43370665362941463,0.4358648234919071,0.43674849296025897
1997-07-11,0.43489390261142086,0.4368205990156197,0.43370665362941463,0.4358648234919071,0.43674849296025897,0.43431043554122123
1997-07-14,0.4368205990156197,0.43370665362941463,0.4358648234919071,0.43674849296025897,0.43431043554122123,0.43576818351048696
1997-07-15,0.43370665362941463,0.4358648234919071,0.43674849296025897,0.43431043554122123,0.43576818351048696,0.4341013207147314
1997-07-16,0.4358648234919071,0.43674849296025897,0.43431043554122123,0.43576818351048696,0.4341013207147314,0.43613934868780646
1997-07-17,0.43674849296025897,0.43431043554122123,0.43576818351048696,0.4341013207147314,0.43613934868780646,0.4351755807510191
1997-07-18,0.43431043554122123,0.43576818351048696,0.4341013207147314,0.43613934868780646,0.4351755807510191,0.434361962536844
1997-07-21,0.43576818351048696,0.4341013207147314,0.43613934868780646,0.4351755807510191,0.434361962536844,0.43687781406790305
1997-07-22,0.4341013207147314,0.43613934868780646,0.4351755807510191,0.434361962536844,0.43687781406790305,0.4328715919605008
1997-07-23,0.43613934868780646,0.4351755807510191,0.434361962536844,0.43687781406790305,0.4328715919605008,0.4361107077785554
1997-07-24,0.4351755807510191,0.434361962536844,0.43687781406790305,0.4328715919605008,0.4361107077785554,0.435501611014419
1997-07-25,0.434361962536844,0.43687781406790305,0.4328715919605008,0.4361107077785554,0.435501611014419,0.4341502980664263
1997-07-28,0.43687781406790305,0.4328715919605008,0.4361107077785554,0.435501611014419,0.4341502980664263,0.4368206204528144
1997-07-29,0.4328715919605008,0.4361107077785554,0.435501611014419,0.4341502980664263,0.4368206204528144,0.4338267514989446
1997-07-30,0.4361107077785554,0.435501611014419,0.4341502980664263,0.4368206204528144,0.4338267514989446,0.43591057406381106
1997-07-31,0.435501611014419,0.4341502980664263,0.4368206204528144,0.4338267514989446,0.43591057406381106,0.4353529162555241
1997-08-01,0.4341502980664263,0.4368206204528144,0.4338267514989446,0.43591057406381106,0.4353529162555241,0.43496247348532924
1997-08-04,0.4368206204528144,0.4338267514989446,0.43591057406381106,0.4353529162555241,0.43496247348532924,0.43693498608215564
1997-08-05,0.4338267514989446,0.43591057406381106,0.4353529162555241,0.43496247348532924,0.43693498608215564,0.43290023270611144
