,trend
1997-05-15,0.0875833198428016
1997-05-16,0.08518752023576596
1997-05-19,0.08458340018986621
1997-05-20,0.07895840108394364
1997-05-21,0.07666680216789117
1997-05-22,0.07541680186986924
1997-05-23,0.07437520176172516
1997-05-27,0.07515640109776804
1997-05-28,0.0761980012059173
1997-05-29,0.07630220055579492
1997-05-30,0.07526040077208568
1997-06-02,0.07411440014838008
1997-06-03,0.07447900027036473
1997-06-04,0.07604160010814796
1997-06-05,0.07781240046023417
1997-06-06,0.07885420024394989
1997-06-09,0.08010420054197312
1997-06-10,0.08072920143603891
1997-06-11,0.0800000011920929
1997-06-12,0.07885420024394213
1997-06-13,0.07807279974221408
1997-06-16,0.07776039987801989
1997-06-17,0.07682299911975796
1997-06-18,0.07624999880790452
1997-06-19,0.07552080005407721
1997-06-20,0.0755730003118528
1997-06-23,0.0755730003118528
1997-06-24,0.07557300031184375
1997-06-25,0.0752084001898675
1997-06-26,0.07562499940394579
1997-06-27,0.07567699998616978
1997-06-30,0.07645819932222561
1997-07-01,0.08046859949827065
1997-07-02,0.08557280004025282
1997-07-03,0.09317699968814333
1997-07-07,0.10124999880790969
1997-07-08,0.11098959892988271
1997-07-09,0.11479159891604925
1997-07-10,0.11614579856395076
1997-07-11,0.1174999997019729
1997-07-14,0.11760420054197376
1997-07-15,0.11416680067776923
1997-07-16,0.11281280070543032
1997-07-17,0.11328160017728224
1997-07-18,0.11026079952715923
1997-07-21,0.10984399914740806
1997-07-22,0.1102605998516044
1997-07-23,0.11098960041998523
1997-07-24,0.11239580065011331
1997-07-25,0.11583320051431398
1997-07-28,0.11739580035209203
1997-07-29,0.11874999999999741
1997-07-30,0.12062499970196644
1997-07-31,0.12052080035208751
1997-08-01,0.11781260073183544
1997-08-04,0.11583340018986234
1997-08-05,0.11364580094812879
1997-08-06,0.11239580065010685
1997-08-07,0.11255200058221429
1997-08-08,0.1124477997422102
1997-08-11,0.11192699968814462
1997-08-12,0.11171879917382677
1997-08-13,0.10994799882173409
1997-08-14,0.10708339810371141
1997-08-15,0.10677079856394817
1997-08-18,0.10645819902419398
1997-08-19,0.10604139864443957
1997-08-20,0.1061455994844385
1997-08-21,0.10791659951209634
1997-08-22,0.10968759953975678
1997-08-25,0.11119799911975085
1997-08-26,0.11380219906567882
1997-08-27,0.1159375980496329
1997-08-28,0.11729159802197635
1997-08-29,0.11718739867209613
1997-09-02,0.11953119784593325
1997-09-03,0.12078119814395775
1997-09-04,0.12739579975604495
1997-09-05,0.1362500011920929
1997-09-08,0.1459374010562845
1997-09-09,0.15197920203208537
1997-09-10,0.1638542026281318
1997-09-11,0.16479180157183954
1997-09-12,0.16593759953974774
1997-09-15,0.16697939932345698
1997-09-16,0.1683333992958056
1997-09-17,0.17093759775161096
1997-09-18,0.18499999642372003
1997-09-19,0.1977083981037153
1997-09-22,0.2073957979679082
1997-09-23,0.21526039838791025
1997-09-24,0.2174477994442025
1997-09-25,0.2128644019365259
1997-09-26,0.2099998027086297
1997-09-29,0.20645820200444434
1997-09-30,0.20578120350837967
1997-10-01,0.2042708039283856
1997-10-02,0.20510420203208665
1997-10-03,0.202291801571846
1997-10-06,0.20213540196418764
1997-10-07,0.19953120052814485
1997-10-08,0.19838539958000184
1997-10-09,0.19713540077209604
1997-10-10,0.19635399878025572
1997-10-13,0.19552080035209657
1997-10-14,0.19427080154419724
1997-10-15,0.1915104031562844
1997-10-16,0.18973960280418656
1997-10-17,0.19421880245209258
1997-10-20,0.2002084016799914
1997-10-21,0.20895839929581078
1997-10-22,0.2229687988758139
1997-10-23,0.22744799852371217
1997-10-24,0.2326564013958029
1997-10-27,0.24135420322419507
1997-10-28,0.24760420322418084
1997-10-29,0.24817720055580011
1997-10-30,0.25619799792766446
1997-10-31,0.25630219578742597
1997-11-03,0.2511459946632347
1997-11-04,0.24651059508324316
1997-11-05,0.24046879708767327
1997-11-06,0.2318230003118528
1997-11-07,0.22171880006790678
1997-11-10,0.21067719757557174
1997-11-11,0.2026563972234752
1997-11-12,0.19953139722347518
1997-11-13,0.20119799673557412
1997-11-14,0.20588539838790765
1997-11-17,0.21328119933605194
1997-11-18,0.22052080035210175
1997-11-19,0.2237500011920929
1997-11-20,0.2222916007041983
1997-11-21,0.2201561987400055
1997-11-24,0.21765619814395648
1997-11-25,0.21307279765606058
1997-11-26,0.2108853965997696
1997-11-28,0.2109375983476587
1997-12-01,0.21255219876766207
1997-12-02,0.21494799852371477
1997-12-03,0.2196355998516057
1997-12-04,0.2240105986595128
1997-12-05,0.2285417973995183
1997-12-08,0.23000019788741938
1997-12-09,0.23187519907951099
1997-12-10,0.23135419785975894
1997-12-11,0.2301041990518583
1997-12-12,0.22781260013580712
1997-12-15,0.22661460041999817
1997-12-16,0.22265619933604677
1997-12-17,0.2222395986318653
1997-12-18,0.22338539958000314
1997-12-19,0.22505199909210077
1997-12-22,0.22718739807605356
1997-12-23,0.22947919964789829
1997-12-24,0.23197920024394472
1997-12-26,0.23348959982395173
1997-12-29,0.2374480009078902
1997-12-30,0.2409898012876485
1997-12-31,0.24328140020370873
1998-01-02,0.24416680037974278
1998-01-05,0.24348979890346528
1998-01-06,0.23942719697951753
1998-01-07,0.23244799673556765
1998-01-08,0.2279687970876668
1998-01-09,0.2260417968034796
1998-01-12,0.2269791990518557
1998-01-13,0.23036459982394655
1998-01-14,0.23567700088023882
1998-01-15,0.24218740165232966
1998-01-16,0.24645819962024432
1998-01-20,0.24906239807605615
1998-01-21,0.24890619814395518
1998-01-22,0.24911459684371304
